"state","fips","county","latitude","longitude","I0","R0","A0","S0"
"NE",31117,"McPherson",41.596473,-101.06023,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NE",31119,"Madison",41.909929,-97.606856,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NE",31121,"Merrick",41.169801,-98.031051,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NE",31123,"Morrill",41.732205,-102.99059,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NE",31125,"Nance",41.402386,-97.991408,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NE",31127,"Nemaha",40.387448,-95.850954,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NE",31129,"Nuckolls",40.176492,-98.046842,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NE",31131,"Otoe",40.637992,-96.131027,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NE",31133,"Pawnee",40.13785,-96.245225,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NE",31135,"Perkins",40.856065,-101.63644,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NE",31137,"Phelps",40.516365,-99.406557,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NE",31139,"Pierce",42.271413,-97.610992,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NE",31141,"Platte",41.576866,-97.513467,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NE",31143,"Polk",41.187925,-97.570663,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NE",31145,"Red Willow",40.16942,-100.46857,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NE",31147,"Richardson",40.123743,-95.718603,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NE",31149,"Rock",42.413325,-99.45853,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NE",31151,"Saline",40.516802,-97.131755,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NE",31153,"Sarpy",41.115064,-96.109125,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NE",31155,"Saunders",41.223152,-96.640923,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NE",31157,"Scotts Bluff",41.851589,-103.70586,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NE",31159,"Seward",40.871944,-97.140383,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NE",31161,"Sheridan",42.507074,-102.38969,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NE",31163,"Sherman",41.218743,-98.972849,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NE",31165,"Sioux",42.483806,-103.7426,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NE",31167,"Stanton",41.904793,-97.174724,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NE",31169,"Thayer",40.173845,-97.596263,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NE",31171,"Thomas",41.84862,-100.50691,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NE",31173,"Thurston",42.154061,-96.533943,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NE",31175,"Valley",41.564094,-98.983484,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NE",31177,"Washington",41.533979,-96.224574,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NE",31179,"Wayne",42.210746,-97.126243,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NE",31181,"Webster",40.180646,-98.49859,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NE",31183,"Wheeler",41.937859,-98.522289,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NE",31185,"York",40.873056,-97.596742,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"NV",32001,"Churchill",39.525701,-118.27041,0.000706328569425978,0.000927576743173908,0.139534554006282,0.858547034792199
"NV",32003,"Clark",36.214236,-115.01381,0.000706328569425978,0.000927576743173908,0.139534554006282,0.858547034792199
"NV",32005,"Douglas",38.905129,-119.60901,0.000706328569425978,0.000927576743173908,0.139534554006282,0.858547034792199
"NV",32007,"Elko",41.141133,-115.35142,0.000706328569425978,0.000927576743173908,0.139534554006282,0.858547034792199
"NV",32009,"Esmeralda",37.778966,-117.63238,0.000706328569425978,0.000927576743173908,0.139534554006282,0.858547034792199
"NV",32011,"Eureka",39.977788,-116.2722,0.000706328569425978,0.000927576743173908,0.139534554006282,0.858547034792199
"NV",32013,"Humboldt",41.407914,-118.12759,0.000706328569425978,0.000927576743173908,0.139534554006282,0.858547034792199
"NV",32015,"Lander",39.900211,-117.04724,0.000706328569425978,0.000927576743173908,0.139534554006282,0.858547034792199
"NV",32017,"Lincoln",37.634605,-114.86303,0.000706328569425978,0.000927576743173908,0.139534554006282,0.858547034792199
"NV",32019,"Lyon",39.022214,-119.19741,0.000706328569425978,0.000927576743173908,0.139534554006282,0.858547034792199
"NV",32021,"Mineral",38.516647,-118.41627,0.000706328569425978,0.000927576743173908,0.139534554006282,0.858547034792199
"NV",32023,"Nye",37.966379,-116.45904,0.000706328569425978,0.000927576743173908,0.139534554006282,0.858547034792199
"NV",32027,"Pershing",40.439639,-118.40947,0.000706328569425978,0.000927576743173908,0.139534554006282,0.858547034792199
"NV",32029,"Storey",39.438385,-119.52464,0.000706328569425978,0.000927576743173908,0.139534554006282,0.858547034792199
"NV",32031,"Washoe",40.703311,-119.71031,0.000706328569425978,0.000927576743173908,0.139534554006282,0.858547034792199
"NV",32033,"White Pine",39.417804,-114.90094,0.000706328569425978,0.000927576743173908,0.139534554006282,0.858547034792199
"NV",32510,"Carson City [9]",39.153447,-119.74344,0.000706328569425978,0.000927576743173908,0.139534554006282,0.858547034792199
"NH",33001,"Belknap",43.519109,-71.425366,0.0010810517801077,0.000701479728514938,0.135908287580903,0.862100659287521
"NH",33003,"Carroll",43.867567,-71.201665,0.0010810517801077,0.000701479728514938,0.135908287580903,0.862100659287521
"NH",33005,"Cheshire",42.925455,-72.248217,0.0010810517801077,0.000701479728514938,0.135908287580903,0.862100659287521
"NH",33007,"Coos",44.652419,-71.289383,0.0010810517801077,0.000701479728514938,0.135908287580903,0.862100659287521
