fips,count
6099,509682
6101,93420
6103,62575
6105,13701
6107,429404
6109,56074
6111,809080
6113,196418
6115,71160
8001,425330
8003,15293
8005,552860
8007,12136
8009,3833
8011,6125
8013,290177
8014,52872
8015,17540
8017,2194
8019,9088
8021,8220
8023,3536
8025,5897
8027,3899
8029,30533
8031,578087
8033,2027
8035,273440
8037,50793
8039,22712
8041,599988
8043,46941
8045,54761
8047,5126
8049,14526
8051,15136
8053,489
8055,6948
8057,1464
8059,528614
8061,1643
8063,8156
8065,7039
8067,50149
8069,291162
8071,15675
8073,5476
8075,22278
8077,142284
8079,1020
8081,13519
8083,25279
8085,40266
8087,27911
8089,18830
8091,4319
8093,16286
8095,4394
8097,16389
8099,12734
8101,156244
8103,6494
8105,11926
8107,22924
8109,6161
8111,752
8113,7299
8115,2412
8117,27105
8119,22821
8121,4773
8123,242860
8125,9896
9001,905342
9003,887976
9005,189916
9007,164774
9009,856688
9011,272360
9013,151073
9015,117708
10001,156918
10003,533514
10005,190846
11001,584400
12001,244247
12003,26548
12005,166798
12007,28750
12009,540583
12011,1734139
12013,14372
12015,159385
12017,140686
12019,186076
12021,316931
12023,66964
12027,34557
12029,16196
12031,854848
12033,297940
12035,91806
12037,11470
12039,46031
12041,16683
12043,12617
12045,15879
12047,14696
12049,27521
12051,39030
12053,170337
12055,98807
12057,1200236
12059,19992
12061,135518
12063,49334
12065,14583
12067,8506
12069,291671
12071,606165
12073,270409
12075,40415
12077,8230
12079,19300
12081,318619
12083,326833
12085,144322
12086,2445374
12087,73065
12089,71099
12091,182076
12093,39883
12095,1116094
12097,258531
12099,1299356
12101,456514
12103,918263
12105,590116
12107,74715
12109,180624
12111,269659
12113,147838
12115,376200
12117,417330
12119,85891
12121,40675
12123,22000
12125,15375
12127,496053
12129,29368
12131,53366
12133,24125
13001,18050
13003,8332
13005,10969
13007,3657
13009,46905
13011,17840
13013,66359
13015,97423
13017,17631
13019,18708
13021,154810
13023,12937
13025,17650
13027,16338
13029,29039
13031,67298
13033,23083
13035,23401
13037,6488
13039,49293
13043,10715
13045,109227
13047,62951
13049,12310
13051,256428
